directory;filename;severity;errorType;errorMessage
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_37";"A64_37.txt";"ERROR";"File contains Byte Order Mark";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_38";"A64_38.txt";"ERROR";"File contains Byte Order Mark";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_39";"A64_39.txt";"ERROR";"File contains Byte Order Mark";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_40";"A64_40.txt";"ERROR";"File contains Byte Order Mark";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_41";"A64_41.txt";"ERROR";"File contains Byte Order Mark";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42/tif";"A-Gf_A64_42-168r .TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42/tifSicher/r";"A-Gf_A64_42-168r .TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42/tifSicher/r";"A-Gf_A64_42-168r .TIF";"ERROR";"Duplicated file";"Same hash as A64_42/tifSicher/r/A-Gf_A64_42-167r.TIF"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42/jpg";"A-Gf_A64_42-168r .jpg";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42";"A64_42.txt";"ERROR";"File contains Byte Order Mark";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_43";"A64_43.txt";"ERROR";"File contains Byte Order Mark";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_17";"A67_17.txt";"ERROR";"File contains Byte Order Mark";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tif";"A-Gf_A67_18-I+r.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tif";"A-Gf_A67_18-I+v.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tif";"A-Gf_A67_18-II+v.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tif";"A-Gf_A67_18-II+r.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tifSicher/r";"A-Gf_A67_18-I+r.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tifSicher/r";"A-Gf_A67_18-II+r.TIF";"ERROR";"Invalid filename";""
