"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"19","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A70_23.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A70_23.xml","A70_23.xml","Signature","Done","103008","File","xml","2024-08-14T14:32:15","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"20","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A70_41.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A70_41.xml","A70_41.xml","Signature","Done","77412","File","xml","2024-08-14T14:32:15","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"21","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A67_44.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A67_44.xml","A67_44.xml","Signature","Done","162763","File","xml","2024-08-14T14:32:15","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"22","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_18.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_18.xml","S1_18.xml","Signature","Done","14384","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"23","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A70_45.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A70_45.xml","A70_45.xml","Signature","Done","251890","File","xml","2024-08-14T14:32:15","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"24","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A67_41.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A67_41.xml","A67_41.xml","Signature","Done","1571516","File","xml","2024-08-14T14:32:15","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"25","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_20.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_20.xml","S1_20.xml","Signature","Done","14409","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"26","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_19.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_19.xml","S1_19.xml","Signature","Done","197523","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"27","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A67_42.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A67_42.xml","A67_42.xml","Signature","Done","1390252","File","xml","2024-08-14T14:32:15","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"28","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A67_43.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/A67_43.xml","A67_43.xml","Signature","Done","4006905","File","xml","2024-08-14T14:32:15","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"29","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_23.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_23.xml","S1_23.xml","Signature","Done","100620","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"30","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_24.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_24.xml","S1_24.xml","Signature","Done","172285","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"31","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_25.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_25.xml","S1_25.xml","Signature","Done","105858","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"32","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_26.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_26.xml","S1_26.xml","Signature","Done","81349","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"33","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_27.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_27.xml","S1_27.xml","Signature","Done","191081","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"34","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_28.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_28.xml","S1_28.xml","Signature","Done","125017","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"35","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_30.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_30.xml","S1_30.xml","Signature","Done","115836","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"36","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_39.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_39.xml","S1_39.xml","Signature","Done","48303","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
