directory;filename;severity;errorType;errorMessage
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_37.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_34.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A63_51.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_38.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_43.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_40.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_42.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_39.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_41.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_20.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_23.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_18.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_19.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_17.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/ofmgrazSchema.rng"
